Routing table for Node Id 0 Time = 20.0093 seconds
 Destination 	 Path 	 Cost
1 	0-1	3
2 	0-2	3
3 	0-3	4
4 	0-1-4	8
5 	0-3-5	8
6 	0-2-6	6
7 	0-3-7	8
Routing table for Node Id 0 Time = 40.0121 seconds
 Destination 	 Path 	 Cost
1 	0-1	3
2 	0-2	4
3 	0-3	7
4 	0-1-4	7
5 	0-3-5	11
6 	0-2-6	9
7 	0-3-7	10
Routing table for Node Id 0 Time = 60.0146 seconds
 Destination 	 Path 	 Cost
1 	0-1	5
2 	0-2	4
3 	0-3	5
4 	0-1-4	10
5 	0-3-5	9
6 	0-2-6	8
7 	0-3-7	9
Routing table for Node Id 0 Time = 80.0178 seconds
 Destination 	 Path 	 Cost
1 	0-1	4
2 	0-2	4
3 	0-3	4
4 	0-1-4	9
5 	0-3-5	11
6 	0-2-6	9
7 	0-3-7	8
Routing table for Node Id 0 Time = 100.021 seconds
 Destination 	 Path 	 Cost
1 	0-1	3
2 	0-2	6
3 	0-3	6
4 	0-1-4	6
5 	0-3-5	12
6 	0-1-4-6	10
7 	0-3-7	10
Routing table for Node Id 0 Time = 120.024 seconds
 Destination 	 Path 	 Cost
1 	0-1	2
2 	0-2	6
3 	0-3	7
4 	0-1-4	6
5 	0-3-5	12
6 	0-1-4-6	8
7 	0-3-7	11
