Routing table for Node Id 3 Time = 0 seconds
 Destination 	 Path 	 Cost
2 	3-2	15
5 	3-5	4
Routing table for Node Id 3 Time = 20 seconds
 Destination 	 Path 	 Cost
0 	3-5-0	10
1 	3-5-1	12
2 	3-2	10
4 	3-5-4	16
5 	3-5	8
6 	3-5-7-6	18
7 	3-5-7	15
8 	3-2-8	18
9 	3-5-9	11
10 	3-5-1-10	16
Routing table for Node Id 3 Time = 40 seconds
 Destination 	 Path 	 Cost
0 	3-5-0	6
1 	3-5-1	8
2 	3-2	8
4 	3-5-4	12
5 	3-5	4
6 	3-5-1-6	10
7 	3-5-7	9
8 	3-5-8	16
9 	3-5-9	8
10 	3-5-1-10	11
Routing table for Node Id 3 Time = 60 seconds
 Destination 	 Path 	 Cost
0 	3-5-0	6
1 	3-5-1	8
2 	3-2	10
4 	3-5-4	8
5 	3-5	4
6 	3-5-1-6	16
7 	3-5-7	8
8 	3-5-8	14
9 	3-5-9	9
10 	3-5-1-10	12
Routing table for Node Id 3 Time = 80 seconds
 Destination 	 Path 	 Cost
0 	3-5-0	6
1 	3-5-1	6
2 	3-2	11
4 	3-5-4	11
5 	3-5	4
6 	3-5-1-6	8
7 	3-5-7	10
8 	3-5-8	15
9 	3-5-9	11
10 	3-5-1-10	9
Routing table for Node Id 3 Time = 100 seconds
 Destination 	 Path 	 Cost
0 	3-5-0	9
1 	3-5-1	12
2 	3-2	14
4 	3-5-4	10
5 	3-5	7
6 	3-5-1-6	18
7 	3-5-7	13
8 	3-5-8	18
9 	3-5-9	11
10 	3-5-1-10	15
Routing table for Node Id 3 Time = 120 seconds
 Destination 	 Path 	 Cost
0 	3-5-0	7
1 	3-5-1	8
2 	3-2	13
4 	3-5-4	11
5 	3-5	5
6 	3-5-7-6	15
7 	3-5-7	13
8 	3-5-8	16
9 	3-5-9	12
10 	3-5-1-10	11
Routing table for Node Id 3 Time = 140 seconds
 Destination 	 Path 	 Cost
0 	3-5-0	6
1 	3-5-1	9
2 	3-2	15
4 	3-5-4	8
5 	3-5	4
6 	3-5-1-6	12
7 	3-5-7	8
8 	3-5-8	16
9 	3-5-9	7
10 	3-5-1-10	11
Routing table for Node Id 3 Time = 160 seconds
 Destination 	 Path 	 Cost
0 	3-5-0	10
1 	3-5-1	10
2 	3-2	10
4 	3-5-4	12
5 	3-5	8
6 	3-5-1-6	17
7 	3-5-7	13
8 	3-2-8	18
9 	3-5-9	16
10 	3-5-1-10	14
Routing table for Node Id 3 Time = 180 seconds
 Destination 	 Path 	 Cost
0 	3-5-0	10
1 	3-5-1	12
2 	3-2	14
4 	3-5-4	14
5 	3-5	8
6 	3-5-1-6	20
7 	3-5-7	16
8 	3-5-8	22
9 	3-5-9	15
10 	3-5-1-10	15
Routing table for Node Id 3 Time = 200 seconds
 Destination 	 Path 	 Cost
0 	3-5-0	8
1 	3-5-1	10
2 	3-2	14
4 	3-5-4	10
5 	3-5	6
6 	3-5-7-6	16
7 	3-5-7	11
8 	3-5-8	17
9 	3-5-9	12
10 	3-5-1-10	12
Routing table for Node Id 3 Time = 220 seconds
 Destination 	 Path 	 Cost
0 	3-5-0	6
1 	3-5-1	7
2 	3-2	13
4 	3-5-4	10
5 	3-5	4
6 	3-5-1-6	14
7 	3-5-7	12
8 	3-5-8	16
9 	3-5-9	10
10 	3-5-1-10	9
Routing table for Node Id 3 Time = 240 seconds
 Destination 	 Path 	 Cost
0 	3-5-0	10
1 	3-5-1	10
2 	3-2	13
4 	3-5-4	17
5 	3-5	8
6 	3-5-1-6	16
7 	3-5-7	14
8 	3-2-8	20
9 	3-5-9	12
10 	3-5-1-10	13
Routing table for Node Id 3 Time = 260 seconds
 Destination 	 Path 	 Cost
0 	3-5-0	9
1 	3-5-1	10
2 	3-2	12
4 	3-5-4	13
5 	3-5	7
6 	3-5-1-6	14
7 	3-5-7	11
8 	3-2-8	19
9 	3-5-9	15
10 	3-5-1-10	14
